Xn,Yn,Isyn1,WWx,Ax,Dx,RMtrx,Prelx,Inhx,time
3.46944e-18,3.46944e-18,1.73472e-18,9.999999999999999e-16,1.73472e-18,3.46944e-18,3.46944e-18,0.25,3.46944e-18,1005000
3.469439999999999e-18,0.09999999999999998,1.044042438810009e-56,9.999999999999999e-16,1.7347199999999996e-18,3.3827039999999993e-18,0.000691000000000003,0.25,3.4347455999999997e-18,1015000
0.0010000000000000026,0.19899999999999995,1.7377292534783977e-38,9.999999999999999e-16,0.0009999999999999983,0.004999999999999999,0.0013802725000000027,0.25,3.400400541383039e-18,1025000
0.002980000000000001,0.2970099999999999,3.434745599999996e-38,9.999999999999999e-16,0.0020100000000000005,0.01974999999999999,0.0020678218187500023,0.25,3.3664013007979667e-18,1035000
0.005920299999999998,0.3940398999999998,5.274069215999992e-38,9.999999999999999e-16,0.006989899999999997,0.043762499999999975,0.002753652264203127,0.25,4.135643640832739e-09,1045000
0.009801495999999993,0.49009950099999966,7.249734885119987e-38,9.999999999999999e-16,0.013920000999999991,0.07657437499999994,0.0034377681335426187,0.25,2.056112774435908e-08,1055000
0.014604476049999988,0.5851985059899996,9.358831833935981e-38,9.999999999999999e-16,0.022780800989999978,0.11774565624999989,0.0041201737132087616,0.25,6.133440017237015e-08,1065000
0.02031041634939998,0.6793465209300993,1.159849387028714e-37,9.999999999999999e-16,0.03355299298009996,0.16685837343749982,0.004800873278925737,0.25,1.4230460762554556e-07,1075000
0.026900777395206965,0.772553055720798,1.3965898782727879e-37,9.999999999999999e-16,0.04621746305029893,0.22351545476562468,0.005479871095728421,0.25,2.8300175571086657e-07,1085000
0.03435730017846287,0.8648275251635897,1.6458267747532777e-37,9.999999999999999e-16,0.06075528841979591,0.2873396820273432,0.006157171417989098,0.25,5.065285441165112e-07,1095000
0.042662002428314125,0.9561792499119537,1.90728647431633e-37,9.999999999999999e-16,0.07714773553559791,0.35797269792597575,0.006832778489444122,0.25,8.394543403294168e-07,1105000
0.0517971749031505,0.9466174574128341,2.180699597210646e-37,9.999999999999999e-16,0.09537625818024184,0.43507406302967666,0.007506696543220509,0.25,1.3117112558915813e-06,1115000
0.06074537772824733,0.9371512828387056,2.8428806135856435e-19,9.999999999999999e-16,0.0944224955984394,0.4133203598781927,0.008178929801862455,0.25,1.9564922897471763e-06,1125000
0.0695094367793519,0.9277797700103185,6.369510616567837e-19,9.999999999999999e-16,0.09347827064245501,0.39265434188428305,0.008849482477357794,0.25,2.8101515037804034e-06,1135000
0.07809214011166155,0.9185019723102152,1.055852466308061e-18,9.999999999999999e-16,0.09254348793603046,0.37302162479006884,0.009518358771164394,0.25,3.717417581681993e-06,1145000
0.08649623843364707,0.909316952587113,1.5388990399936535e-18,9.999999999999999e-16,0.09161805305667015,0.3543705435505653,0.010185562874236477,0.25,4.676248845928385e-06,1155000
0.0947244455751817,0.9002237830612416,2.0840401202700745e-18,9.999999999999999e-16,0.09070187252610343,0.336652016373037,0.01085109896705088,0.25,5.684650121934802e-06,1165000
0.10277943895004227,0.8912215452306291,2.6892669021150273e-18,9.999999999999999e-16,0.08979485380084237,0.3198194155543851,0.011514971219633248,0.25,6.740671874564053e-06,1175000
0.11066386001284811,0.8823093297783227,3.3526117332583338e-18,9.999999999999999e-16,0.08889690526283395,0.3038284447766658,0.01217718379158416,0.25,7.842409358971409e-06,1185000
0.11838031471050284,0.8734862364805394,4.0721474201463685e-18,9.999999999999999e-16,0.08800793621020558,0.2886370225378324,0.012837740832105194,0.25,8.988001785563806e-06,1195000
0.1259313739282032,0.8647513741157338,4.845986544390544e-18,9.999999999999999e-16,0.08712785684810351,0.2742051714109407,0.013496646480024927,0.25,1.0175631498854819e-05,1205000
0.13331957393007848,0.8561038603745763,5.672280789552375e-18,9.999999999999999e-16,0.08625657827962246,0.2604949128403936,0.01415390486382486,0.25,1.1403523170000146e-05,1215000
0.14054741679452343,0.8475428217708305,6.549220278119644e-18,9.999999999999999e-16,0.08539401249682624,0.2474701671983739,0.014809520101665294,0.25,1.2669943002801443e-05,1225000
0.14761737084428644,0.8390673935531221,7.47503291853009e-18,9.999999999999999e-16,0.08454007237185795,0.23509665883845515,0.015463496301411125,0.25,1.3973197952969571e-05,1235000
0.15453187107137473,0.8306767196175908,8.44798376210106e-18,9.999999999999999e-16,0.08369467164813937,0.22334182589653234,0.01611583756065759,0.25,1.531163496044133e-05,1245000
0.16129331955683684,0.8223699524214148,9.466374369725336e-18,9.999999999999999e-16,0.08285772493165797,0.21217473460170566,0.01676654796675594,0.25,1.668364019454679e-05,1255000
0.1679040858854826,0.8141462528972006,1.0528542188195325e-17,9.999999999999999e-16,0.08202914768234137,0.20156599787162033,0.017415631596839044,0.25,1.808763831182748e-05,1265000
0.17436650755559974,0.8060047903682284,1.1632859936019617e-17,9.999999999999999e-16,0.08120885620551796,0.19148769797803927,0.018063092517846942,0.25,1.952209172630834e-05,1275000
0.18068289038372598,0.797944742464546,1.2777734998597662e-17,9.999999999999999e-16,0.08039676764346276,0.18191331307913727,0.01870893478655232,0.25,2.0985499892029663e-05,1285000
0.18685550890453417,0.7899652950399005,1.3961608832620314e-17,9.999999999999999e-16,0.07959279996702812,0.17281764742518035,0.01935316244958593,0.25,2.2476398597647767e-05,1295000
0.19288660676588776,0.7820656420895014,1.518295637956553e-17,9.999999999999999e-16,0.07879687196735782,0.16417676505392131,0.01999577954346196,0.25,2.399335927291615e-05,1305000
