time_in_femtoseconds,tp,td,Xn,Yn,Isyn1,WWx,Ax,Dx,RMtrx,Prelx,Inhx
1005000000,1,0,2.0000000135865405e-12,2.0000000135865405e-12,1.734723475976807e-18,1.0000000567576291e-16,1.734723475976807e-18,3.469446951953614e-18,3.469446951953614e-18,1.734723475976807e-18,3.469446951953614e-18
1015000000,1,1,2.0000000135865405e-12,0.10000000074505808,6.018635117614147e-51,1.0000000567576291e-16,1.734723475976807e-18,3.3827112537837394e-18,0.0006909999998630956,0.25,3.4347529208399073e-18
1025000000,1,1,0.009999999376013856,0.18999999955296515,3.529618800940039e-49,1.0000000567576291e-16,0.000999999989988282,0.005000000037252904,0.0013802725127141182,0.25,3.4004054784854933e-18
1035000000,1,1,0.027999998439103318,0.2709999984800815,3.469479759665074e-49,1.0000000567576291e-16,0.0020099999982118606,0.01975000010058284,0.0020678218022643566,0.25,3.3664025569383477e-18
1045000000,1,1,0.0522999974653124,0.3439000053375961,1.734731050679998e-39,1.0000000567576291e-16,0.006989900114645067,0.043762499839439986,0.0027536523068480883,0.25,1.3802724786491521e-09
1055000000,1,1,0.08145999592423427,0.40951001374453344,4.857232897078876e-39,1.0000000567576291e-16,0.013920000936314491,0.07657437440974636,0.0034377682465208544,0.25,5.522791664550186e-09
1065000000,1,1,0.11426499640241256,0.4685590183305448,9.072623807513255e-39,1.0000000567576291e-16,0.02278080045151116,0.11774565444128676,0.0041201737540267035,0.25,2.471531748914735e-08
1075000000,1,1,0.14969439505619989,0.5217031097919675,1.413106151082917e-38,1.0000000567576291e-16,0.03355299222627259,0.16685836886937525,0.004800873369563322,0.25,7.232190033818193e-08
1085000000,1,1,0.1868952642946024,0.5695327988127707,1.982183475574339e-38,1.0000000567576291e-16,0.04621746156267707,0.22351545016513616,0.005479871225874759,0.25,1.6545954215967554e-07
1095000000,1,1,0.22515901849147732,0.6125795129710291,2.5967841161548724e-38,1.0000000567576291e-16,0.060755287245073536,0.2873396735590599,0.006157171630328048,0.25,3.2488860828552774e-07
1105000000,0,1,0.2639010627240259,0.6513215646541585,3.242119272936624e-38,1.0000000567576291e-16,0.07714773385667008,0.35797268474020616,0.006832778773874902,0.25,5.749054482084861e-07
1115000000,0,0,0.30264310695657454,0.5861894066986265,3.9058933457702294e-38,1.0000000567576291e-16,0.09537625597048568,0.4350740517697946,0.007506696847467031,0.25,9.432371251168554e-07
1125000000,0,0,0.3309977376758378,0.5275704719892285,5.278022285607808e-20,1.0000000567576291e-16,0.0944224922186879,0.4133203525340662,0.008178930042056144,0.25,1.4609381385016984e-06
1135000000,0,0,0.3506550148324673,0.4748134307507703,1.2105723942518292e-19,1.0000000567576291e-16,0.0934782670729836,0.39265433378977577,0.008849482548593954,0.25,2.162289335235795e-06
1145000000,0,0,0.3630708489737168,0.4273320861855771,1.9859864194868085e-19,1.0000000567576291e-16,0.09254348367582213,0.37302162119810645,0.009518358674447497,0.25,2.9129414005206194e-06
1155000000,0,0,0.36949697493007705,0.3845988775670194,2.8052399936634955e-19,1.0000000567576291e-16,0.09161804889494327,0.35437053753049785,0.010185562610568482,0.25,3.7110463546988593e-06
1165000000,0,0,0.37100716295859704,0.34613899428066597,3.630708539155576e-19,1.0000000567576291e-16,0.09070186773544156,0.33665201326167626,0.010851098547908621,0.25,4.554797941185132e-06
1175000000,0,0,0.36852034534574585,0.3115250933624832,4.433963144001329e-19,1.0000000567576291e-16,0.08979484892770198,0.3198194152062957,0.011514970677419623,0.25,5.442431399092297e-06
1185000000,0,0,0.36282082238259383,0.28037258328117676,5.1940999151618975e-19,1.0000000567576291e-16,0.08889689933946429,0.3038284422108067,0.0121771831900532,0.25,6.372221985302476e-06
1195000000,0,0,0.35457600219774255,0.2523353249530591,5.896325757830586e-19,1.0000000567576291e-16,0.08800792956375866,0.28863702084532444,0.012837740276761062,0.25,7.342484860780212e-06
1205000000,0,0,0.3443519352183323,0.22710179841821787,6.530774472898886e-19,1.0000000567576291e-16,0.08712785019361527,0.27420517129317434,0.013496645895664272,0.25,8.351573385269798e-06
1215000000,0,0,0.33262692638119834,0.20439161969398317,7.091520343840816e-19,1.0000000567576291e-16,0.08625657182206428,0.2604949104933414,0.014153904237714536,0.25,9.397880708911098e-06
1225000000,0,0,0.3198033964575349,0.18395245995975912,7.57574268409507e-19,1.0000000567576291e-16,0.08539400504213587,0.2474701701840809,0.014809519493863568,0.25,1.0479835679513154e-05
1235000000,0,0,0.30621830541546063,0.16555721433631224,7.983046514824981e-19,1.0000000567576291e-16,0.08454006417215063,0.235096662792464,0.015463495622232426,0.25,1.159590443417e-05
1245000000,0,0,0.29215219742513293,0.14900149476532623,8.3148887082317555e-19,1.0000000567576291e-16,0.0836946635304291,0.22334182928031174,0.01611583681377282,0.25,1.2744589489765909e-05
1255000000,0,0,0.27783712827673934,0.13410134640638072,8.57411269834897e-19,1.0000000567576291e-16,0.08285771557264672,0.21217473856135424,0.016766547259436465,0.25,1.3924428378733262e-05
1265000000,0,0,0.26346354971717445,0.12069121362838786,8.76456590991806e-19,1.0000000567576291e-16,0.08202913834241445,0.20156600181955103,0.017415630684513767,0.25,1.5133993194305166e-05
